product,date,title,rating,body
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 26 December 2022,Body lotion,4.0,"People with not very dry skin, it's good for them."
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 22 November 2022,Product nice packaging poor,4.0,Product is nice however the pump is not functioning so we have to remove moisturiser manually
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 2 December 2022,Good,3.0,Just good
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 11 November 2022,I love mcaffeine product,5.0,I like this product because it's light weight and non greasy.  Overall moisture up to 4  to 5 hrScent was awesome
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 19 November 2022,Nice,5.0,Like
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 15 November 2022,Nice smell and non greasy,5.0,Very smooth and amazing aroma. I will buy it again.
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 5 November 2022,Best product,5.0,Really love this product
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 9 January 2023,Smells really bad!,2.0,"This product smells really bad, not at all like coffee or anything close to that. Not recommended if you're looking for something that smells good."
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 30 August 2022,Satisfied,5.0,I liked it a lot......the fragrance and the texture both are just perfect unlike many other market products which claims to mosturize but are oily
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 2 September 2022,Good product not for dry skin,3.0,It's a good product but it's either for summers or for normal to oily in winters. Not for dry skin. Very light . Amazing scent.
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 7 May 2020,Awesome product!! Loving it!!,5.0,"mCaffeine Naked & Raw Coffee Body Lotion is perfect for daily moisturization and will perk up  mood with the great aroma of Coffee.It is extremely hydrating, pleasing and soothing to body. It is good for dry skin as well as oily skin. It provides good moisture to the skin and leaves your skin glowing. Love the fragrance though. It also includes Vitamin C as one of the ingredients which  is a natural sun-protector and improves the overall health of the skin. It also has Shea Butter & Cocoa Butter which nourishes the skin.Best part of the product is it is paraben free hence used for sensitive skin too. Highly recommended. must try."
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 3 January 2022,Average moisturiser,3.0,This is average moisturizer compared to other products in market.Would not recommend for dry skin in winters.The product got absorbed fast and the fragrance was nice.
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 2 January 2022,Feels so Soft and moisturising,5.0,This is the best moisturiser I ever Used. My skin feels so moisturising nd soft. It lasts for a very long time. Its fragrance is very good. Will definitely purchase this product again.
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 11 December 2021,BEST BODY LOTION SO FAR!,5.0,"Trust me, you will get addicted to it. This is the best body lotion i have used in my entire life. The fragrance is sooo good and lasting with perfect moisturizing effect. SIMPLY BEST😍"
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 11 February 2022,It's not oily,5.0,I like the fact this body lotion is not oily at all but I must say it doesn't last fir long time..
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 9 June 2021,Scent is a bit on the stronger side,4.0,"It is a good moisturizing lotion for dry skin. Scent of the lotion can be bit timid, it has got a bit stronger scent."
"Amazon.in:Customer reviews: mCaffeine Coffee Body Lotion for Winter with Vitamin C &amp; Shea Butter | Non-Greasy Lightweight Body Moisturizer for Women &amp; Men | Winter Body Lotion for Dry, Normal &amp; Oily Skin (200ml)",Reviewed in India 🇮🇳 on 11 December 2020,The smell is soo strong!!!,4.0,"Great moisturizer. Consistency is good, it's not at all greasy ,gives a little cooling sensation. Everything is great except the smell. The smell is soo strong. The type of fragrance is but it's too strong, could have been mild."
